investor_id,firm,score,max_score,status,missing_fields,partner_count,portfolio_company_count,website,source_url,focus_sectors,investment_stage,geography,contact_links,updated_at
286,10D VC,5,7,usable,partners; portfolio_companies,0,0,https://saasvclist.com/vcs/10d-vc-10dvc/,https://saasvclist.com/pages/series-a-india,Artificial Intelligence,Series A; Seed,Middle East; Israel,https://saasvclist.com/vcs/10d-vc-10dvc/,2026-05-27T09:54:28.705461
1,10K Ventures,4,7,usable,partners; portfolio_companies; contact_links,0,0,https://saasvclist.com/vcs/10k-ventures-10kventuresco/,,B2B SaaS,Seed; Pre-Seed,Europe,,2026-05-27T06:01:49.559963
368,1982 Ventures,6,7,strong,partners,0,3,https://1982.vc/,https://hub.waveup.com/funds/geo/southeast-asia,Artificial Intelligence,Seed,Southeast Asia,https://1982.vc/,2026-05-27T09:53:56.543004
2,1984 Ventures,6,7,strong,partners,0,3,http://1984.vc/,https://hub.waveup.com/funds/geo/europe,B2B SaaS,Seed,United States,http://1984.vc/,2026-05-27T09:34:49.283931
3,25Shares,4,7,usable,partners; portfolio_companies; contact_links,0,0,"['Email', 'Facebook', 'Twitter', 'LinkedIn']",,Artificial Intelligence,Growth Stage,Global,,2026-05-26T07:13:30.632961
268,2B Angels,3,7,thin,focus_sectors; investment_stage; partners; portfolio_companies,0,0,https://www.swfinstitute.org/profile/5e39a600fcbe7e8ca7273583,https://swfinstitute.org/profiles/venture-capital-firm/middle-east,,,Middle East,https://www.swfinstitute.org/profile/5e39a600fcbe7e8ca7273583,2026-05-28T05:26:33.084577
4,2ndF,5,7,usable,focus_sectors; investment_stage,2,1,https://www.2ndf.org,https://www.2ndf.org/team,,,United States,https://www.linkedin.com/company/2ndf/; https://www.2ndf.org/team,2026-05-28T05:31:55.099146
5,406 Ventures,6,7,strong,partners,0,4,https://origami.chat/companies,https://origami.chat/blog/angel-investors-ai-saas-startups-series-a-c,B2B SaaS; Artificial Intelligence,Series A; Seed,United States,https://saasvclist.com/vcs/406-ventures-406venturescom/; http://www.406ventures.com/; mailto:hello@origamiagents.com; https://calendly.com/d/cxp3-6kv-xs7/origami-demo; mailto:finn@origamiagents.com; https://x.com/origamichat; https://www.linkedin.com/company/99440945,2026-05-27T09:54:17.204435
293,42CAP,5,7,usable,partners; portfolio_companies,0,0,https://42cap.com,https://42cap.com/investment-thesis,Artificial Intelligence; B2B SaaS,Seed; Pre-Seed,Europe,https://42cap.com/investment-thesis,2026-05-27T09:52:56.190995
6,500 Global,6,7,strong,partners,0,2,https://500.co,https://500.co/sea,B2B SaaS; Artificial Intelligence,Growth Stage; Seed; Series A,Global,https://500.co/contact; https://linkedin.com/company/500global; https://facebook.com/500Global/; https://instagram.com/500Global/; https://x.com/500GlobalVC; https://500.co/get-in-touch,2026-05-27T09:52:56.448558
7,51Shares,5,7,usable,partners; contact_links,0,4,https://news.crunchbase.com/,,Artificial Intelligence,Series B; Pre-Seed; Series A; Growth Stage; Seed,United States; Global,,2026-05-26T07:13:31.490787
8,8VC,5,7,usable,partners; portfolio_companies,0,0,https://www.blackflag.vc/,https://www.vcsheet.com/companies,Artificial Intelligence,Pre-Seed; Seed; Series A; Growth Stage,Global,https://www.blackflag.vc/,2026-05-27T11:21:27.191064
9,a16z,7,7,strong,,34,19,https://a16z.com,https://a16z.com/vsaas-vertical-saas-ai-opens-new-markets,Artificial Intelligence; B2B SaaS,Series A; Seed; Growth Stage,Global; United States,https://a16z.com/team; https://a16z.com/author/alex-immerman/; https://a16z.com/author/alex-rampell/; https://a16z.com/author/ali-yahya/; https://a16z.com/author/andrew-chen/; https://a16z.com/author/andy-mccall/; https://a16z.com/author/angela-strange/; https://a16z.com/author/anish-acharya/; https://a16z.com/author/anjney-midha/; https://a16z.com/author/asaf-ezra/; https://a16z.com/author/ben-horowitz/; https://a16z.com/author/ben-portney/; https://a16z.com/author/bing-wong/; https://a16z.com/author/brian-roberts/; https://a16z.com/author/bryan-faust/; https://a16z.com/author/bryan-kim/; https://a16z.com/author/caroline-goggins/; https://a16z.com/author/chris-dixon/; https://a16z.com/author/chris-schnabl/; https://a16z.com/author/christian-keil/; https://a16z.com/author/connie-chan/; https://a16z.com/author/daisy-wolf/; https://a16z.com/author/daniel-penny/; https://a16zcrypto.com/team/daren-matsuoka; https://a16z.com/author/david-george/; https://a16z.com/author/david-haber/; https://a16z.com/author/david-ulevitch/; https://a16z.com/author/eddy-lazzarin/; https://a16zcrypto.com/team/elizabeth-harkavy; https://a16z.com/author/emily-bennett/; https://a16z.com/author/emma-cooper/; https://a16z.com/author/eric-alby/; https://a16z.com/author/eric-zhou/; https://a16z.com/author/erik-torenberg/; https://a16z.com/author/erin-price-wright/; https://a16z.com/author/eva-steinman/; https://a16z.com/author/fabrizio-serafini/; https://a16z.com/author/gabriel-vasquez/; https://a16z.com/author/gio-ahern/; https://a16z.com/author/guido-appenzeller/; https://a16z.com/author/guy-wuollet/,2026-05-27T09:53:01.378743
356,Aavishkaar Capital,4,7,usable,website; partners; contact_links,0,1,,https://theaiworld.org/news/gnaniai-raises-7m-series-b-led-by-aavishkaar-capital,Voice AI; Artificial Intelligence,Series B,India,,2026-05-28T05:32:00.643713
10,Accel,7,7,strong,,2,2,https://www.accel.com,https://growthlist.co/saas-vc,B2B SaaS; Artificial Intelligence,Seed; Series A; Growth Stage,India; United States; Europe; Global,https://www.accel.com/contact; https://twitter.com/accel; https://www.linkedin.com/company/accel,2026-05-27T09:53:53.207083
11,Accel Partners,7,7,strong,,5,5,http://www.accel.com/,,B2B SaaS,Series A; Seed,Global,https://www.linkedin.com/company/accel-partners/,2026-05-26T07:13:33.731336
351,Acorn Innovestments,5,7,usable,partners; portfolio_companies,0,0,https://acorninnovestments.com/,https://startupguide.wraltechwire.com/venture-capital-angel-groups-to-pitch,B2B SaaS,Seed,United States,https://acorninnovestments.com/,2026-05-27T09:54:40.134586
12,Activate,6,7,strong,partners,0,4,https://activatevc.ai,https://activatevc.ai,Artificial Intelligence,Pre-Seed; Seed,India,https://www.linkedin.com/in/aakrit/; https://www.linkedin.com/in/177pc/; https://www.activatevc.ai/fellows; https://nas.io/the-generativeai-group; https://www.activatevc.ai/signal,2026-05-27T09:34:09.230431
13,Affinity,6,7,strong,partners,0,1,https://affinity.co,https://affinity.co/blog/saas-venture-capital,B2B SaaS; Artificial Intelligence,Seed; Series A,India; United States; Europe,https://www.affinity.co/portfolio; https://www.affinity.co/portfolio#; https://consentpro.com/; https://www.vector.co/legal/privacy; https://www.salesforce.com/company/privacy/full_privacy/; https://www.qualified.com/legal/privacy; https://www.drift.com/privacy-policy/; https://legal.hubspot.com/privacy-policy; https://policies.google.com/privacy,2026-05-26T11:51:42.634119
15,AI Fund,7,7,strong,,1,3,https://ai-fund.vc,https://ai-fund.vc,Artificial Intelligence,Pre-Seed,Global,https://aifund.ai/build-with-us/; https://aifund.ai/build-with-us-corporate/; https://aifund.ai/our-team/; https://aifund.ai/portfolio/,2026-05-27T09:53:04.068696
